date,BirdID_1,BirdID_2,BirdID_3
26/03/2019,93.6,81.1,99.9
27/03/2019,131.2,36.4,46.2
28/03/2019,147.6,66.2,119.1
29/03/2019,38.7,50.5,73.4
30/03/2019,49.1,124.4,44.9
31/03/2019,72.6,74,87.5
1/04/2019,82,60.2,69.9
2/04/2019,82.8,96,81.4
3/04/2019,78,156.7,149.5
4/04/2019,74.6,20.3,75.1
5/04/2019,71.3,50.9,37.1
6/04/2019,93,117,83.4
7/04/2019,118.1,109.6,44.1
8/04/2019,69.5,61,46.9
9/04/2019,80,45.2,70.2
10/04/2019,162.3,83.1,56.1
11/04/2019,85.4,102.9,111.8
12/04/2019,72.1,31.2,103.8
13/04/2019,70.6,86.5,87
14/04/2019,59.9,82,100.2
15/04/2019,59.1,81,93.4
16/04/2019,65.8,84.7,87.9
17/04/2019,57.6,173.4,157.9
18/04/2019,70.3,85.4,51
19/04/2019,53.9,59.3,224.7
20/04/2019,66.7,45.7,23.6
21/04/2019,59.7,83.4,71.9
22/04/2019,57.5,71.7,75.9
23/04/2019,51.2,118,31.8
24/04/2019,56.7,114.9,24
25/04/2019,110.2,61.8,49.2
26/04/2019,50.3,62.5,39.1
27/04/2019,70.6,92.7,75.3
28/04/2019,41.4,72.2,92.2
29/04/2019,75.9,86.7,63
30/04/2019,66.7,68.5,51.1
1/05/2019,64.8,117.8,99.7
2/05/2019,98.2,63.5,68.7
3/05/2019,92.8,64.4,94.9
4/05/2019,48.8,75.4,41.7
5/05/2019,40.8,73.7,58.2
6/05/2019,67.4,118.6,73.1
7/05/2019,95.1,69.6,88.5
8/05/2019,65.2,105.5,245.6
9/05/2019,52.3,80,96.7
10/05/2019,39.3,61.7,92.5
11/05/2019,81.5,114.3,81.4
12/05/2019,45.2,78.8,117.8
13/05/2019,35.7,65.6,153.4
14/05/2019,129,65.1,149.6
15/05/2019,42.1,138.1,113.5
16/05/2019,51.5,97.3,115.7
17/05/2019,93.2,153.9,56.6
18/05/2019,74.2,114.3,150
19/05/2019,72.3,218.2,79.2
20/05/2019,75.7,151.7,50.6
21/05/2019,49.5,167.2,82.9
22/05/2019,105.5,28.8,93.7
23/05/2019,121.3,10.8,78.9
24/05/2019,58.9,33,120.6
25/05/2019,61.3,42.8,49.5
26/05/2019,62.9,23.5,116.3
27/05/2019,59.5,17.2,28.7
28/05/2019,59.6,28.5,83.5
29/05/2019,71.5,32.4,99.8
30/05/2019,53.5,36.1,106.3
31/05/2019,70.7,16.3,109.8
1/06/2019,99.5,20,124.8
2/06/2019,95.6,23.1,98.3
3/06/2019,50.8,20.9,84.6
4/06/2019,73,32.1,123.1
5/06/2019,110.7,9,65.6
6/06/2019,79.8,17.3,79
7/06/2019,90.4,15.1,66.7
8/06/2019,68.4,11.6,33.4
9/06/2019,34.5,22.7,59.4
10/06/2019,30.4,21.1,37.4
11/06/2019,34.4,34.2,45
12/06/2019,31.3,20.8,40.1
13/06/2019,17.1,18,72.4
14/06/2019,27.9,25.9,128.6
15/06/2019,23.3,29.9,67.5
16/06/2019,38.3,16.3,138.1
17/06/2019,21.6,13.1,65
18/06/2019,26.3,31,91.5
19/06/2019,36.5,16.5,202.1
20/06/2019,38.1,23,98.9
21/06/2019,38,18.8,92.5
22/06/2019,41.2,18.1,138.8
23/06/2019,22.3,21.3,89.1
24/06/2019,36.9,31.7,47.6
25/06/2019,34.8,16.3,22.8
26/06/2019,42.3,19.3,26.6
27/06/2019,29.7,23.7,46.7
28/06/2019,22.2,22.8,24.3
29/06/2019,40.1,49.5,32.5
30/06/2019,21,23.5,21
1/07/2019,24.4,12.6,51.8
2/07/2019,32.9,31.4,30
3/07/2019,43.7,36.6,19.7
4/07/2019,28.2,13.4,15.4
5/07/2019,37,23.9,27.2
6/07/2019,19.2,18.2,21.9
7/07/2019,13.9,19,24.8
8/07/2019,20,28.9,22.1
9/07/2019,47.5,20.4,28
10/07/2019,43.5,32.2,19.3
11/07/2019,22.4,39.9,25.5
12/07/2019,27.6,16.2,27.9
13/07/2019,30,23.1,27.1
14/07/2019,23.2,19.2,10.8
15/07/2019,26.5,26.7,45.3
16/07/2019,21.2,11.6,15.4
17/07/2019,21.8,23.1,27.2
18/07/2019,19.4,11.6,40.3
19/07/2019,36.3,28.8,33.1
20/07/2019,21.4,31.4,26.1
21/07/2019,29.6,24.8,33.6
22/07/2019,17.6,21.1,25.3
23/07/2019,15.7,13.8,22.7
24/07/2019,25.3,20.7,22.3
25/07/2019,15.5,11.4,29.7
26/07/2019,21.4,17.9,27.9
27/07/2019,21.4,12.3,26.1
28/07/2019,32.6,13.6,36.7
29/07/2019,41.3,17.8,28.1
30/07/2019,38.9,10.3,30.6
31/07/2019,44.8,11.4,25.6
1/08/2019,30.7,27.4,28.1
2/08/2019,20.7,59.1,30.4
3/08/2019,32.6,21.7,41.1
4/08/2019,29.8,35.3,13
5/08/2019,52.9,23.3,28.3
6/08/2019,39.4,17.1,37.2
7/08/2019,39.6,28.6,41.7
8/08/2019,32.1,28.5,66.5
9/08/2019,31.5,18.7,19.2
10/08/2019,21.3,22.9,39.6
11/08/2019,43.4,18.6,26
12/08/2019,42.5,28.3,15.5
13/08/2019,48.1,25.5,25.4
14/08/2019,27.4,33.6,80
15/08/2019,25,11.6,65.1
16/08/2019,32.8,25.7,32.5
